id,geom,amenities_500,leisure_500
3600108,"40.68744,-73.9747",39,9
3600496,"40.74596,-73.98411",203,5
3600518,"40.73389,-73.98724",108,7
3600961,"40.72974,-73.98372",140,10
3601324,"40.66529,-73.9557",12,2
3601743,"40.66884,-73.97575",14,1
3601900,"40.84943,-73.93146",8,8
3602534,"40.83473,-73.93982",4,5
3602739,"40.71445,-73.99287",193,28
3603134,"40.77487,-73.949",66,2
3603287,"40.72061,-73.99472",212,14
3603426,"40.68274,-73.91856",11,7
3604145,"40.69576,-73.94082",9,6
3605388,"40.66748,-73.92554",1,1
3605493,"40.75997,-73.90926",13,3
3605524,"40.74173,-73.97906",139,5
3605654,"40.7055,-74.00866",145,21
3605896,"40.84464,-73.9355",10,8
3608353,"40.64802,-73.97095",13,5
3609762,"40.77995,-73.78506",0,1
3611620,"40.692,-73.93852",3,4
3611813,"40.73755,-73.98595",115,6
3613161,"40.80465,-73.95365",36,9
3613839,"40.82544,-73.9402",7,11
3614113,"40.72966,-73.98515",154,10
3614159,"40.67426,-73.96586",35,6
3614680,"40.7638,-73.91622",75,3
3616001,"40.70883,-74.01266",127,22
3616003,"40.63981,-73.95712",1,0
3616173,"40.68184,-73.99308",46,5
3616527,"40.69741,-73.96942",22,6
3616946,"40.74016,-74.00049",106,10
3617498,"40.65554,-73.96046",6,5
3619399,"40.63631,-73.95313",1,2
3623158,"40.7946,-73.94105",30,4
3623201,"40.66981,-73.98462",63,1
3623946,"40.66748,-73.98971",48,1
3624205,"40.79319,-73.94209",33,5
3624380,"40.7942,-73.94136",29,5
3624387,"40.76481,-73.93163",15,3
3624653,"40.71286,-73.96244",81,19
3624952,"40.75193,-73.89085",34,17
3625075,"40.82279,-73.94947",12,10
3625117,"40.69217,-73.90768",18,2
3625870,"40.64894,-74.00621",19,2
3626302,"40.70554,-73.90729",34,1
3626426,"40.77274,-73.95732",115,0
3626609,"40.71749,-73.99016",187,20
3626699,"40.74365,-73.91632",18,20
3627106,"40.76385,-73.9905",139,6
3627326,"40.81954,-73.92715",3,5
3627589,"40.68599,-73.95182",14,7
3628190,"40.64372,-73.95969",5,1
3628328,"40.82603,-73.92312",6,6
3628553,"40.7229,-73.7462",1,1
3629217,"40.68779,-73.90521",5,2
3629381,"40.77242,-73.96212",71,1
3629580,"40.79032,-73.94523",44,12
3630304,"40.74269,-73.91518",14,15
3630309,"40.74493,-73.91528",13,26
3632258,"40.80309,-73.96367",62,15
3634361,"40.65413,-73.97684",9,8
3635348,"40.67927,-73.93208",13,6
3635624,"40.72138,-73.98371",112,15
3636601,"40.74994,-73.99612",105,6
3636967,"40.72705,-73.94033",3,2
3637029,"40.69942,-73.91209",69,4
3638841,"40.65046,-74.00402",20,2
3638852,"40.72135,-73.98",50,11
3641819,"40.6786,-73.96694",60,5
3642278,"40.68235,-73.99806",50,2
3642325,"40.58363,-73.93553",5,4
3642801,"40.6553,-73.95816",6,4
3643392,"40.68635,-73.93246",12,2
3643673,"40.68949,-73.92784",6,6
3644017,"40.77591,-73.9145",22,2
3644037,"40.63777,-74.02497",13,4
3645284,"40.76043,-73.95992",44,7
3645866,"40.63402,-73.97556",6,3
3646059,"40.71566,-73.941",29,2
3646551,"40.73568,-73.98062",45,8
3652120,"40.76073,-73.99215",179,4
3652230,"40.5903,-73.8143",3,1
3653996,"40.76882,-73.98699",94,15
3654510,"40.78698,-73.944",31,12
3654511,"40.7509,-73.96963",70,12
3655007,"40.88855,-73.85127",0,0
3655367,"40.6737,-73.95335",37,1
3659544,"40.76625,-73.99387",43,5
3660983,"40.71952,-73.94844",47,14
3661168,"40.71202,-73.96665",48,11
3662091,"40.73312,-73.99097",108,7
3662724,"40.77448,-73.96102",79,1
3662795,"40.62401,-73.95775",1,2
3662827,"40.72168,-73.99544",177,11
3662887,"40.7411,-73.98455",174,7
3662949,"40.76522,-73.99486",38,6
3663178,"40.67541,-73.94408",10,2
3663423,"40.68412,-73.95039",13,3
3663798,"40.70917,-73.94918",28,6
3663984,"40.77222,-73.95604",109,1
3664439,"40.74911,-73.98202",199,4
3664714,"40.73526,-73.95375",17,5
3666653,"40.62356,-74.024",19,3
3666709,"40.7729,-73.95276",107,1
3670659,"40.68337,-73.95819",24,2
3672455,"40.74532,-73.91974",26,23
3673938,"40.69437,-73.95841",13,6
3674757,"40.6916,-73.94714",6,6
3675957,"40.69839,-73.97666",5,4
3677769,"40.74189,-73.92375",28,4
3677995,"40.80677,-73.94977",44,9
3678064,"40.66709,-73.9514",6,1
3678796,"40.68138,-73.95018",16,4
3678829,"40.67164,-73.97761",46,2
3678990,"40.84686,-73.94181",12,3
3683236,"40.68908,-73.92893",6,6
3683241,"40.68781,-73.91377",10,3
3684144,"40.69753,-73.93619",7,6
3684302,"40.67472,-73.94737",14,3
3685433,"40.69494,-73.96888",24,6
3685704,"40.68822,-73.94357",3,8
3686493,"40.73632,-73.98475",96,6
3686972,"40.77905,-73.97939",64,7
3687172,"40.72858,-73.99951",181,18
3687227,"40.68769,-73.95333",16,7
3688168,"40.68927,-73.96957",48,8
3688197,"40.64644,-73.9756",18,7
3689140,"40.73419,-74.00213",140,20
3692566,"40.64295,-73.97632",10,3
3693901,"40.69134,-73.94468",3,7
3694441,"40.68592,-73.95502",17,4
3694498,"40.71385,-73.94156",25,2
3695776,"40.68431,-73.99782",54,3
3696043,"40.66827,-73.92509",1,2
3696746,"40.73343,-73.98634",112,8
3697432,"40.77542,-73.95437",118,0
3698111,"40.77579,-73.9557",113,1
3698241,"40.77688,-73.95616",99,2
3698367,"40.67948,-73.97219",73,5
3700364,"40.7284,-73.99812",176,15
3701708,"40.67916,-73.97454",72,5
3701890,"40.77918,-73.9874",10,8
3702400,"40.69825,-73.92788",25,4
3703037,"40.77817,-73.97844",53,7
3703633,"40.73268,-73.98689",121,7
3703805,"40.66935,-73.9485",6,1
3704067,"40.69034,-73.96675",40,9
3706213,"40.76027,-73.99081",197,4
3709013,"40.68473,-73.95697",23,3
3710162,"40.7216,-73.99558",177,11
3710230,"40.66271,-73.95392",5,2
3710436,"40.67862,-73.94687",15,5
3710685,"40.74502,-73.9169",18,24
3711039,"40.76977,-73.91596",43,7
3715638,"40.79508,-73.94895",14,7
3715824,"40.72669,-73.98419",156,13
3716193,"40.68205,-73.94239",12,7
3717689,"40.69141,-73.95886",28,6
3717749,"40.6413,-73.98233",9,2
3718713,"40.70536,-73.94229",9,5
3720404,"40.70914,-73.95236",32,13
3721826,"40.77883,-73.95498",109,2
3725902,"40.6779,-73.98421",56,5
3727816,"40.73538,-73.853",4,7
3727861,"40.80257,-73.9548",29,8
3728309,"40.68905,-73.92685",6,6
3728837,"40.72533,-73.94204",11,5
3731209,"40.71795,-73.95804",94,14
3731871,"40.69865,-73.92972",24,6
3731965,"40.71985,-73.94422",27,10
3735483,"40.68732,-73.94058",10,5
3737180,"40.70033,-73.91197",69,4
3737847,"40.7001,-73.91204",66,4
3738529,"40.69817,-73.9654",7,7
3738756,"40.72037,-73.9596",64,5
3738815,"40.75068,-73.98177",175,4
3739126,"40.72339,-73.99477",164,10
3739712,"40.76215,-73.99036",170,4
3739864,"40.65136,-73.95974",4,6
3740402,"40.77693,-73.95632",95,2
3741405,"40.81217,-73.95303",21,8
3741530,"40.68237,-73.94811",14,4
3741728,"40.68667,-73.93897",10,4
3741945,"40.77707,-73.95652",92,2
3742373,"40.74944,-73.99631",100,6
3743048,"40.64408,-74.07834",10,7
3747107,"40.74626,-73.9009",22,12
3747240,"40.67256,-73.97212",17,5
3747392,"40.71858,-73.95711",86,13
3747567,"40.79416,-73.93984",30,4
3749971,"40.71623,-73.96415",72,8
3750917,"40.65084,-73.97334",13,9
3751048,"40.77175,-73.95742",110,1
3751919,"40.69411,-73.93987",8,8
3752035,"40.68772,-73.95484",20,4
3755474,"40.74735,-73.97671",131,7
3757178,"40.71726,-74.01134",74,28
3757461,"40.73601,-73.98205",69,6
3758296,"40.80645,-73.95804",35,15
27133188,"40.6417,-73.95251",3,1
27133412,"40.71671,-73.94094",24,3
27134625,"40.68925,-73.97108",48,8
27135927,"40.82855,-73.91856",1,9
27136219,"40.70144,-73.92094",61,4
27137095,"40.75817,-73.89893",6,2
27137301,"40.68652,-73.94848",8,6
27137607,"40.69033,-73.98994",68,3
27137651,"40.73933,-73.9797",90,7
27138925,"40.64599,-73.96079",3,2
27138938,"40.8183,-73.93828",8,7
27139072,"40.6875,-73.9588",22,5
27139625,"40.68454,-73.96425",30,5
27139685,"40.76391,-73.99325",92,5
27139915,"40.74161,-73.92505",26,2
27140232,"40.74708,-73.99131",162,6
27140359,"40.77405,-73.90328",16,4
27140472,"40.65086,-73.97757",8,10
27140547,"40.806,-73.94082",12,12
27140578,"40.64118,-73.95245",2,1
27140780,"40.64228,-73.95204",2,1
27141013,"40.61768,-73.91669",1,3
27141191,"40.74022,-73.87614",22,7
27142225,"40.69176,-73.99336",47,6
27143808,"40.82372,-73.95122",17,7
27149449,"40.75019,-73.97045",67,13
27149630,"40.77093,-73.95873",98,1
27150644,"40.75237,-73.9704",96,14
27154602,"40.6756,-73.95232",36,1
27156129,"40.68167,-73.93608",18,7
27156174,"40.77377,-73.9048",22,3
27157649,"40.69456,-73.96439",19,5
27159331,"40.76795,-73.98432",118,12
27159664,"40.6939,-73.93239",13,8
27160398,"40.82423,-73.95056",22,7
27160493,"40.74756,-73.99072",175,6
27160938,"40.68625,-73.94045",11,6
27161183,"40.68049,-73.91918",6,8
27161388,"40.68876,-73.97048",42,6
27161807,"40.72673,-73.98766",175,11
27162696,"40.63956,-73.95033",3,1
27163003,"40.69149,-73.96043",27,7
27164116,"40.80136,-73.95158",22,7
27164169,"40.71219,-73.96301",67,20
27165248,"40.65614,-73.9584",6,4
27165702,"40.73399,-74.00357",140,21
27166808,"40.6395,-73.96507",18,0
27166904,"40.70571,-74.00675",143,18
27167258,"40.74462,-74.0013",100,4
27168097,"40.7159,-73.95905",103,11
27169644,"40.7154,-73.93926",27,2
27169890,"40.79729,-73.93092",10,4
27172827,"40.77979,-73.95297",111,2
27173512,"40.66483,-73.95883",11,2
27173844,"40.74832,-73.98423",191,4
27185508,"40.74017,-73.99485",116,3
27186509,"40.67329,-73.96627",26,6
27188155,"40.7297,-73.98552",155,10
27189113,"40.73692,-74.00531",108,20
27190005,"40.76087,-73.88375",9,5
27190713,"40.78306,-73.94524",53,10
27191921,"40.64275,-74.08001",13,10
27192502,"40.68991,-73.91179",12,2
27194554,"40.80279,-73.96325",64,15
27195039,"40.70265,-73.92606",49,2
27195515,"40.70442,-73.92752",55,3
27195566,"40.76035,-73.99524",114,6
27195600,"40.75785,-73.81948",8,6
27195692,"40.70775,-73.90853",21,2
27196488,"40.74506,-73.92444",24,7
27196874,"40.78461,-73.98078",64,3
27197193,"40.72586,-74.00079",169,26
27199508,"40.74312,-73.99573",127,2
27200105,"40.68036,-73.94587",18,3
27201242,"40.69279,-73.91423",17,5
27201257,"40.67947,-73.97618",70,6
27201468,"40.77847,-73.94962",101,3
27201540,"40.68518,-73.93517",13,4
27202604,"40.59887,-73.9579",8,1
27202749,"40.69176,-73.9383",3,2
27202986,"40.59982,-73.98679",11,2
27203333,"40.82445,-73.90341",2,14
27203347,"40.67786,-73.93254",5,5
27203413,"40.63813,-74.0929",2,1
27203779,"40.67851,-73.93071",5,5
27203985,"40.68923,-73.92816",6,6
27204768,"40.85045,-73.93493",20,9
27205234,"40.6969,-73.9114",62,5
27205506,"40.61183,-73.98219",8,4
27211525,"40.63729,-74.01046",34,4
27214615,"40.73495,-74.00033",114,17
27215273,"40.75524,-73.96382",43,12
27215478,"40.76701,-73.98174",131,8
27215807,"40.76182,-73.99771",44,4
27216072,"40.76194,-73.99824",33,4
27216202,"40.78009,-73.95929",38,1
27216361,"40.70747,-73.95304",21,16
27216826,"40.75457,-73.96248",25,8
27217390,"40.77834,-73.95193",122,1
27217551,"40.73863,-73.98002",83,9
27217759,"40.75994,-73.98673",249,5
27217819,"40.66957,-73.95764",24,2
27220502,"40.75516,-73.99547",129,6
27221468,"40.70844,-73.94415",17,5
27222175,"40.70662,-74.00562",138,21
27222424,"40.82244,-73.94994",10,9
27225028,"40.79889,-73.94489",12,6
27225540,"40.68589,-73.94762",5,6
27225628,"40.81308,-73.95993",21,10
27225643,"40.58511,-73.81757",4,1
27225719,"40.73088,-73.87488",5,2
27225784,"40.77168,-73.95393",104,1
27225888,"40.73615,-73.98166",62,6
27226871,"40.68613,-73.94786",4,6
27227103,"40.89382,-73.84844",1,0
27227269,"40.82958,-73.94184",11,10
27227358,"40.68608,-73.94813",4,6
27227655,"40.68635,-73.94821",5,6
27227840,"40.74298,-73.97448",62,5
27229363,"40.78319,-73.9544",60,4
27230758,"40.7082,-73.96719",22,12
27234677,"40.7729,-73.95761",116,0
27235064,"40.70934,-73.95593",39,18
27235864,"40.82962,-73.94212",12,10
27236170,"40.63513,-74.07929",9,2
27237325,"40.675,-73.92358",2,2
27237510,"40.75299,-73.96659",63,13
27237511,"40.75414,-73.96595",55,11
27237512,"40.75239,-73.96684",58,13
27237516,"40.75425,-73.96648",68,10
27237526,"40.75397,-73.96697",73,12
27237539,"40.75434,-73.96569",54,13
27237549,"40.75442,-73.96696",78,9
27237563,"40.75402,-73.9651",44,13
27237570,"40.75243,-73.9654",36,14
27237572,"40.75444,-73.96497",49,12
27237577,"40.75224,-73.96652",52,13
27237578,"40.75417,-73.96557",49,12
27237583,"40.75402,-73.96567",50,13
27237586,"40.75451,-73.96708",82,10
27237591,"40.75425,-73.96556",49,12
27237604,"40.75294,-73.96731",70,14
27237606,"40.75269,-73.96678",61,13
27237609,"40.75308,-73.96732",70,15
27237610,"40.75231,-73.96707",60,14
27237623,"40.75283,-73.96675",63,13
27237625,"40.75459,-73.96707",83,10
27237631,"40.75238,-73.96653",52,13
27238918,"40.77214,-73.89169",5,7
27241336,"40.66516,-73.94097",1,1
27244093,"40.70756,-73.94269",14,4
27246155,"40.70936,-73.94427",19,4
27248443,"40.77309,-73.89256",4,6
27248487,"40.73394,-74.00175",147,21
27249535,"40.69128,-73.94311",3,6
27250227,"40.72401,-73.98154",92,13
27250336,"40.77248,-73.89263",4,6
27250504,"40.69159,-73.73658",0,1
27250960,"40.68351,-73.88448",4,2
27251398,"40.75424,-73.96312",27,7
27252114,"40.75909,-73.96398",78,8
27252615,"40.74422,-73.97124",23,6
27252798,"40.70108,-73.90222",59,2
27254736,"40.74075,-73.97674",64,7
27255101,"40.62771,-73.96381",3,0
27255632,"40.75562,-73.99539",137,6
27255936,"40.76243,-73.99078",161,4
27256404,"40.70382,-73.91456",50,0
27257149,"40.70713,-73.92918",29,3
27257929,"40.70757,-73.94466",16,6
27257936,"40.7089,-73.94447",19,4
27259887,"40.68571,-73.93868",12,4
27260962,"40.86813,-73.92393",13,4
27260995,"40.69752,-73.93497",10,6
27261168,"40.7562,-73.96796",98,8
27262079,"40.81192,-73.91781",2,9
27262712,"40.80765,-73.95484",44,12
27263672,"40.70562,-73.92734",42,2
27264907,"40.70665,-73.90969",22,2
27264926,"40.74702,-73.82618",5,4
27274799,"40.75579,-73.9652",62,12
27277107,"40.72817,-73.9773",28,14
27277569,"40.75375,-73.96362",28,9
27277843,"40.68593,-73.94628",5,8
27278017,"40.74573,-73.99049",173,6
27279139,"40.70743,-73.92294",35,3
27279410,"40.75974,-73.99016",221,4
27279645,"40.76037,-73.9917",183,4
27279953,"40.75983,-73.99119",200,4
27279982,"40.76629,-73.986",131,7
27280189,"40.75981,-73.99011",222,4
27281341,"40.74324,-73.97224",37,6
27281452,"40.6838,-73.95161",15,3
27281620,"40.71796,-73.957",98,13
27281794,"40.71918,-73.95735",75,11
27282297,"40.71763,-73.95594",99,14
27282364,"40.68511,-73.94948",13,5
27282824,"40.73214,-74.00531",154,22
27283564,"40.70161,-73.90556",58,1
27284500,"40.70296,-73.9056",57,1
6619187,"40.79229,-73.93954",24,5
6619589,"40.64683,-73.95429",5,1
6619797,"40.81287,-73.95186",11,7
6619984,"40.68023,-73.91047",4,6
6620407,"40.69666,-73.93548",7,8
